URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87143273,31.257142857142856,59,13.205719231006059,37354.22857142857,155131.5,2614796.0,37539.20155352703,0.45300207039337476,1195.0621572212067,0.03492577153464339,0.68891722994516,0.05365668006332968,0.07315012512512106
M87190609,25.857142857142858,51,10.16476507252341,26973.542857142857,140843.0,1888148.0,28012.41560180348,0.3747412008281574,1043.1756906077349,0.031092297497773893,0.6391314338235294,0.04983863110461576,0.07195224505841409
M87199728,34.51428571428571,64,14.140865660653633,43960.81428571429,181462.0,3077257.0,42849.885412096446,0.5002070393374741,1273.6990894039734,0.02816072474081709,0.7335734142026787,0.046101352266861954,0.07359222475793957
M87141220,25.771428571428572,62,11.009309604111587,33795.72857142857,153571.5,2365701.0,34740.023072786746,0.3734989648033126,1311.3641906873613,0.038834150090039835,0.6395847438501467,0.048386919985385454,0.06988855522209123
M87145479,27.228571428571428,56,11.315187554245625,30325.77142857143,147389.0,2122804.0,31535.11174080247,0.3946169772256729,1113.748163693599,0.031741115501050535,0.6420938358720358,0.04769719481995697,0.07125690540201914
M87181205,29.4,58,11.555332720684174,36287.2,175419.5,2540104.0,37678.4092887615,0.4260869565217391,1234.2585034013605,0.03557257513864629,0.6687317461722276,0.050403891768524584,0.07237384097213195
M87188762,28.8,54,11.549397015800066,38847.54285714286,185184.5,2719328.0,43657.930748256855,0.41739130434782606,1348.873015873016,0.031082213550788985,0.6677067082683308,0.04673939009068713,0.06917450291688965
M87141793,24.34285714285714,51,11.903043685528162,24632.85714285714,116788.5,1724300.0,25981.17155407833,0.3527950310559006,1011.913145539906,0.037306026654397646,0.630498651748702,0.04390106767344618,0.07161523910193247
M87154559,26.685714285714287,54,11.925414466763058,35573.94285714286,158132.5,2490176.0,35374.526800019616,0.3867494824016563,1333.0706638115632,0.042853247849248044,0.6588649544324772,0.05598790240733974,0.07332157749408968
M87131806,33.371428571428574,64,13.414460671306946,44686.58571428571,187455.5,3128061.0,42559.573889681094,0.4836438923395445,1339.0672089041095,0.03795933851942302,0.7164686678153623,0.05382515324970568,0.07597015118461736
M87152844,28.114285714285714,55,12.02680679285458,36587.21428571428,161039.0,2561105.0,36763.40302078097,0.4074534161490683,1301.3744918699188,0.038202121946889246,0.6609961251299499,0.05435645272601794,0.07237122306494637
M87120962,29.485714285714284,59,12.254145487656537,38740.014285714286,194661.5,2711801.0,40049.41474014779,0.42732919254658386,1313.8570736434108,0.031444239940164244,0.681932300233746,0.05533532253481103,0.07090672928745294
M87124827,25.714285714285715,54,10.331841015787564,28705.35714285714,138429.0,2009375.0,27235.316634072078,0.37267080745341613,1116.3194444444443,0.036350933553849905,0.6398629662419647,0.05550785531603946,0.07469599965230693
